dataset,image_name,attention_blue,attention_green,attention_lowlight,attention_blur
UIEB_raw_890,100_img_-checkpoint.png,0.25,0.25,0.25,0.25
UIEB_raw_890,100_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,10139.png,0.25,0.25,0.25,0.25
UIEB_raw_890,10151.png,0.25,0.25,0.25,0.25
UIEB_raw_890,101_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,102_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,104_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,105_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,106_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,107_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,108_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,10909.png,0.25,0.25,0.25,0.25
UIEB_raw_890,10945.png,0.25,0.25,0.25,0.25
UIEB_raw_890,109_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,10_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,11052.png,0.25,0.25,0.25,0.25
UIEB_raw_890,11064.png,0.25,0.25,0.25,0.25
UIEB_raw_890,111_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,112_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,11374.png,0.25,0.25,0.25,0.25
UIEB_raw_890,11398.png,0.25,0.25,0.25,0.25
UIEB_raw_890,113_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,114_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,115_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,116_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,117_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,118_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,11_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,120_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,121_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,1225.png,0.25,0.25,0.25,0.25
UIEB_raw_890,12290.png,0.25,0.25,0.25,0.25
UIEB_raw_890,12299.png,0.25,0.25,0.25,0.25
UIEB_raw_890,122_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,12324.png,0.25,0.25,0.25,0.25
UIEB_raw_890,12336.png,0.25,0.25,0.25,0.25
UIEB_raw_890,12348.png,0.25,0.25,0.25,0.25
UIEB_raw_890,123_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,12422.png,0.25,0.25,0.25,0.25
UIEB_raw_890,12433.png,0.25,0.25,0.25,0.25
UIEB_raw_890,12445.png,0.25,0.25,0.25,0.25
UIEB_raw_890,124_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,125_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,12900.png,0.25,0.25,0.25,0.25
UIEB_raw_890,129_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,130_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,131_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,133_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,135_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,136_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,137_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,138_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,139_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,13_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,1407.png,0.25,0.25,0.25,0.25
UIEB_raw_890,140_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,141_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,142_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,143_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,144_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,145_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,146_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,148_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,1491.png,0.25,0.25,0.25,0.25
UIEB_raw_890,149_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,14_img_.png,0.25,0.25,0.25,0.25
UIEB_raw_890,15001.png,0.25,0.25,0.25,0.25
UIEB_raw_890,15003.png,0.25,0.25,0.25,0.25
