degraded_image,degradation_type,reference_image,source_reference_path
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/100_img__blue.png,blue_cast,100_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/100_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/100_img__green.png,green_cast,100_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/100_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/100_img__lowlight.png,low_light,100_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/100_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/100_img__blur.png,blur,100_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/100_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/10139_blue.png,blue_cast,10139.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/10139.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/10139_green.png,green_cast,10139.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/10139.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/10139_lowlight.png,low_light,10139.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/10139.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/10139_blur.png,blur,10139.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/10139.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/10151_blue.png,blue_cast,10151.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/10151.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/10151_green.png,green_cast,10151.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/10151.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/10151_lowlight.png,low_light,10151.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/10151.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/10151_blur.png,blur,10151.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/10151.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/101_img__blue.png,blue_cast,101_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/101_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/101_img__green.png,green_cast,101_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/101_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/101_img__lowlight.png,low_light,101_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/101_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/101_img__blur.png,blur,101_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/101_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/102_img__blue.png,blue_cast,102_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/102_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/102_img__green.png,green_cast,102_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/102_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/102_img__lowlight.png,low_light,102_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/102_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/102_img__blur.png,blur,102_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/102_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/104_img__blue.png,blue_cast,104_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/104_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/104_img__green.png,green_cast,104_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/104_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/104_img__lowlight.png,low_light,104_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/104_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/104_img__blur.png,blur,104_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/104_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blue_cast/105_img__blue.png,blue_cast,105_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/105_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/green_cast/105_img__green.png,green_cast,105_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/105_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/low_light/105_img__lowlight.png,low_light,105_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/105_img_.png
/workspace/underwater_enhancement/data/processed/physical_degradation/blur/105_img__blur.png,blur,105_img_.png,/workspace/underwater_enhancement/data/raw_underwater/UIEB/reference-890/105_img_.png
